state,x,y
Andhra Pradesh,-73.0,-203.0
Arunachal Pradesh,277.0,127.0
Assam,239.0,71.0
Bihar,78.0,62.0
Chhattisgarh,-15.0,-43.0
Goa,-191.0,-193.0
Gujarat,-247.0,1.0
Haryana,-145.0,147.0
Himachal Pradesh,-118.0,223.0
Jharkhand,57.0,3.0
Karnataka,-155.0,-220.0
Kerala,-134.0,-312.0
Madhya Pradesh,-94.0,-11.0
Maharashtra,-157.0,-97.0
Manipur,263.0,35.0
Meghalaya,201.0,52.0
Mizoram,238.0,1.0
Nagaland,278.0,69.0
Odisha,44.0,-69.0
Punjab,-161.0,196.0
Rajasthan,-200.0,85.0
Sikkim,141.0,105.0
Tamil Nadu,-90.0,-301.0
Telangana,-81.0,-132.0
Tripura,209.0,8.0
Uttar Pradesh,-31.0,96.0
Uttarakhand,-67.0,175.0
West Bengal,126.0,-14.0
Delhi,-120.0,135.0
Jammu and Kashmir,-161.0,261.0
Ladakh,-128.0,304.0
